VOYAGEID,STATUS,ADLT1IMP,ADLT2IMP,ADLT3IMP,ADPSALE1,ADPSALE2,ADULT1,ADULT2,ADULT3,ADULT4,ADULT5,ADULT6,ADULT7,ARRPORT,ARRPORT2,BOY1,BOY2,BOY3,BOY4,BOY5,BOY6,BOY7,BOYRAT7,CAPTAINA,CAPTAINB,CAPTAINC,CHIL1IMP,CHIL2IMP,CHIL3IMP,CHILD1,CHILD2,CHILD3,CHILD4,CHILD5,CHILD6,CHILD7,CHILRAT7,CONSTREG,CREW,CREW1,CREW2,CREW3,CREW4,CREW5,CREWDIED,DATEDEPA,DATEDEPB,DATEDEPC,D1SLATRA,D1SLATRB,D1SLATRC,DLSLATRA,DLSLATRB,DLSLATRC,DDEPAM,DDEPAMB,DDEPAMC,DATARR32,DATARR33,DATARR34,DATARR36,DATARR37,DATARR38,DATARR39,DATARR40,DATARR41,DATARR43,DATARR44,DATARR45,DATEDEP,DATEBUY,DATELEFTAFR,DATELAND1,DATELAND2,DATELAND3,DATEDEPAM,DATEEND,DEPTREGIMP,DEPTREGIMP1,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,FEMALE1,FEMALE2,FEMALE3,FEMALE4,FEMALE5,FEMALE6,FEMALE7,FEML1IMP,FEML2IMP,FEML3IMP,GIRL1,GIRL2,GIRL3,GIRL4,GIRL5,GIRL6,GIRL7,GIRLRAT7,GUNS,INFANT1,INFANT2,INFANT3,INFANT4,INFANT5,INFANT6,JAMCASPR,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MALE1,MALE1IMP,MALE2,MALE2IMP,MALE3,MALE3IMP,MALE4,MALE5,MALE6,MALE7,MALRAT7,MEN1,MEN2,MEN3,MEN4,MEN5,MEN6,MEN7,MENRAT7,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,NCAR13,NCAR15,NCAR17,NDESERT,NPAFTTRA,NPPRETRA,NPPRIOR,OWNERA,OWNERB,OWNERC,OWNERD,OWNERE,OWNERF,OWNERG,OWNERH,OWNERI,OWNERJ,OWNERK,OWNERL,OWNERM,OWNERN,OWNERO,OWNERP,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,REGEM2,REGEM3,REGISREG,RESISTANCE,RETRNREG,RETRNREG1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAS36,SLAS39,SLAVEMA1,SLAVEMA3,SLAVEMA7,SLAVEMX1,SLAVEMX3,SLAVEMX7,SLAVMAX1,SLAVMAX3,SLAVMAX7,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,SOURCEI,SOURCEJ,SOURCEK,SOURCEL,SOURCEM,SOURCEN,SOURCEO,SOURCEP,SOURCEQ,SOURCER,TONMOD,TONNAGE,TONTYPE,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,WOMEN1,WOMEN2,WOMEN3,WOMEN4,WOMEN5,WOMEN6,WOMEN7,WOMRAT7,XMIMPFLAG,YEAR10,YEAR100,YEAR25,YEAR5,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,VOYAGEID2,INTRAAMER,BOYRAT1,CHILRAT1,GIRLRAT1,MALRAT1,MENRAT1,WOMRAT1,BOYRAT3,CHILRAT3,GIRLRAT3,MALRAT3,MENRAT3,WOMRAT3
31923,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Louvet, Nicolas",,,,,,,,,,,,,,,,,,,,,4.0,15.0,9.0,1771.0,13.0,11.0,1771.0,1.0,3.0,1773.0,,,,21.0,6.0,1773.0,,,,,,,30.0,10.0,1773.0,"09,15,1771","11,13,1771","3,1,1773","06,21,1773",",,",",,",",,","10,30,1773",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60620.0,60600.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60620.0,36400.0,30000.0,36403.0,10.0,10.0,,,,,60668.0,,,"Cecille, François",,,,,,,,,,,,,,,,60109.0,60912.0,60620.0,,,10710.0,10710.0,10710.0,,,36400.0,,,60100.0,60900.0,60600.0,,,10700.0,10000.0,,0.0,4.0,0.0,0.0,0.0,Brune,36403.0,50.0,,,,50.0,,,,,,,,,,,,,64.0,,,"mettas,II",,,,,,,,,,,,,,,,,,218.3,120.0,4.0,64.0,,64.0,645.0,112.0,110.0,14.0,0.22,,,,,,,,,114.0,28,1700,11,55,1773,1773,1771,,,,0,,,,,,,,,,,,
31928,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Louvet, Nicolas",,,,,,,,,,,,,,,,,,,,,13.0,19.0,8.0,1774.0,,2.0,1775.0,,5.0,1775.0,,,,,,,,,,,,,7.0,6.0,1777.0,"08,19,1774","02,,1775",,",,",",,",",,",",,","06,07,1777",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60620.0,60600.0,60000.0,,,,,,,,,,,,,,,,,,,,,60620.0,80200.0,80000.0,80299.0,10.0,10.0,,,,,60668.0,,,Prémord (Épouse),,,,,,,,,,,,,,,,60106.0,60109.0,60620.0,,,10710.0,10710.0,10710.0,,,,,,60100.0,60100.0,60600.0,,,10700.0,10000.0,,0.0,7.0,6.0,0.0,0.0,Aimable Geneviève,,,,,,209.0,,,,,,,,,,,,,276.0,,,"mettas,II",,,,,,,,,,,,,,,,,,260.0,260.0,4.0,,,,,,,,,,,,,,,,,114.0,28,1700,11,55,1775,1775,1774,,,,0,,,,,,,,,,,,
31956,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"La Coudrais, Jacques",,,,,,,,,,,,,,,,,,,,,1.0,7.0,9.0,1786.0,,,,,,,,,,12.0,6.0,1787.0,,,,,,,,,,"09,07,1786",",,",,"06,12,1787",",,",",,",",,",",,",10700.0,10000.0,,,,,True,49,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60507.0,60500.0,60000.0,36404.0,,,,,,,,,,,,,,,,,,,,60507.0,36400.0,30000.0,36404.0,10.0,10.0,,,,,,1.0,,La Coudrais (Père),La Coudrais (Fils Aîné)*,,,,,,,,,,,,,,,60507.0,,,,,10710.0,,10710.0,,,36400.0,,,60500.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,Phénix,36404.0,117.0,,,,117.0,,,,,,,,,,,,,137.0,,,"mettas,II","LList, 19 Sept 1786","LList, 27 Oct 1786",,,,,,,,,,,,,,,,,62.0,4.0,,,,278.0,,,,,,,,,,,,,111.0,29,1700,12,58,1787,1787,1786,,,,0,,,,,,,,,,,,
32022,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Nicolas,Barneve,,,,,,,,,,,,,,,,,,,,,,,1791.0,,,,,,,,,,28.0,2.0,1791.0,,,,,,,,,,",,1791",",,",,"02,28,1791",",,",",,",",,",",,",60800.0,60000.0,,,,,True,49,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60809.0,60800.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60809.0,36400.0,30000.0,36403.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,60809.0,,,,,60833.0,,60833.0,,,36400.0,,,60800.0,,,,,,,,,,,,,Théodore,36403.0,230.0,,,,230.0,,,,,,,,,,,,,333.0,,,"mettas,II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,30,1700,12,59,1791,1791,1791,,,,0,,,,,,,,,,,,
32065,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Herault, Et",,,,,,,,,,,,,,,,,,,,,,26.0,2.0,1733.0,,,,1.0,9.0,1733.0,,,,,,,,,,,,,26.0,6.0,1734.0,"02,26,1733",",,","9,1,1733",",,",",,",",,",",,","06,26,1734",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60512.0,60500.0,60000.0,,,,,,,,,,,,,,,,,,,,,60512.0,80200.0,80000.0,80299.0,10.0,10.0,80.0,220.0,80.0,,,,,"Giraudeau, Elie",,,,,,,,,,,,,,,,60912.0,60512.0,60515.0,,,10712.0,10712.0,10712.0,,,,,,60900.0,60500.0,60500.0,,,10700.0,10000.0,,,,,,,Diamant,,,,,,358.0,,,,,,,,,,,,,420.0,,,"mettas,II",,,,,,,,,,,,,,,,,,365.3,250.0,4.0,420.0,,,,,,,,,,,,,,,,111.0,24,1700,10,47,1733,1733,1733,,,,0,,,,,,,,,,,,
32095,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Blanchette,,,,,,,,,,,,,,,,,,,,,19.0,26.0,3.0,1738.0,,5.0,1738.0,,,,,,,,3.0,1739.0,,,,,,,2.0,12.0,1739.0,"03,26,1738","05,,1738",,"03,,1739",",,",",,",",,","12,02,1739",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60399.0,60300.0,60000.0,36405.0,,,,,,,,,,,,,,,,,,,,60399.0,36400.0,30000.0,36405.0,10.0,10.0,,,,,60668.0,,,"La Croix, Th de",,,,,,,,,,,,,,,,60321.0,60312.0,,,,10712.0,10712.0,10712.0,,,36400.0,,,60300.0,60300.0,,,,10700.0,10000.0,,,7.0,,,,Henriette,36405.0,240.0,,,,240.0,,,,,,,,,,,,,271.0,,,"mettas,II",,,,,,,,,,,,,,,,,,182.3,100.0,4.0,,,,,,,,,,,,,,,,,120.0,24,1700,10,48,1739,1739,1738,,,,0,,,,,,,,,,,,
32104,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Tremureau,,,,,,,,,,,,,,,,,,,,,,20.0,11.0,1738.0,,,,26.0,6.0,1739.0,29.0,3.0,1740.0,,10.0,1739.0,,,,,,,,,,"11,20,1738",",,","6,26,1739","10,,1739",",,",",,","03,29,1740",",,",10700.0,10000.0,,,,,True,29,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,60668.0,60600.0,60000.0,36405.0,,,,,,,,,,,,,,,,,,,,60668.0,36400.0,30000.0,36405.0,10.0,10.0,,,,,,,,"Hardy, Pierre",,,,,,,,,,,,,,,,60668.0,,,,,10712.0,,10712.0,,,36400.0,,,60600.0,,,,,,,,,,,,,Hardy,36405.0,243.0,,,,243.0,,,,,,,,,,,,,320.0,,,"mettas,II",,,,,,,,,,,,,,,,,,257.3,160.0,4.0,,,,,,,,,,,,,,,,,114.0,24,1700,10,48,1739,1739,1738,,,,0,,,,,,,,,,,,
32109,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Couillandeau,,,,,,,,,,,,,,,,,,,,,14.0,25.0,4.0,1739.0,,8.0,1739.0,,,,,,,,3.0,1740.0,,,,,,,19.0,12.0,1740.0,"04,25,1739","08,,1739",,"03,,1740",",,",",,",",,","12,19,1740",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60317.0,60300.0,60000.0,36405.0,,,,,,,,,,,,,,,,,,,,60317.0,36400.0,30000.0,36405.0,10.0,10.0,,,,,,,,"Labbé, Jean",,,,,,,,,,,,,,,,60317.0,,,,,10712.0,10712.0,10712.0,,,36400.0,,,60300.0,,,,,10700.0,10000.0,,0.0,1.0,4.0,9.0,0.0,Pénélope,36405.0,403.0,,,,403.0,,,,,,,,,,,,,455.0,,,"mettas,II",,,,,,,,,,,,,,,,,,365.3,250.0,4.0,,,,,,,,,,,,,,,,,120.0,24,1700,10,48,1740,1740,1739,,,,0,,,,,,,,,,,,
32124,PUBLISHED,,,,36405.0,,,,,,,,,,,,,,,,,,,"Billouin, Honoré",,,,,,,,,,,,,,,,,,,,,11.0,14.0,3.0,1740.0,8.0,4.0,1740.0,24.0,5.0,1740.0,,,,,1.0,1741.0,,6.0,1741.0,,,,23.0,12.0,1741.0,"03,14,1740","04,08,1740","5,24,1740","01,,1741","06,,1741",",,",",,","12,23,1741",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60399.0,60300.0,60000.0,36499.0,,,,,,,,,,,,,,,,,,,,60399.0,36400.0,30000.0,36499.0,10.0,10.0,,,,,,,,"Vivier, Elie",,,,,,,,,,,,,,,,60306.0,60310.0,,,,10712.0,10712.0,10712.0,,,36400.0,36400.0,,60300.0,60300.0,,,,10700.0,10000.0,,1.0,3.0,3.0,4.0,0.0,Phénix,36414.0,,,,,174.0,,,,,,,,,,,,,196.0,,,"mettas,II",,,,,,,,,,,,,,,,,,341.3,230.0,4.0,,,,,,,,,,,,,,,,,120.0,25,1700,10,49,1740,1741,1740,,,,0,,,,,,,,,,,,
32156,PUBLISHED,,,325.0,,,,,,,,,325.0,,,,,36.0,,,,36.0,0.09809,"Grenou, Jacques",,,,,42.0,,,,,,,42.0,0.11444,,,,,,,,4.0,9.0,12.0,1741.0,,2.0,1742.0,,,,,,,,,,,,,,,,18.0,7.0,1743.0,"12,09,1741","02,,1742",,",,",",,",",,",",,","07,18,1743",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,119.0,,,119.0,,,6.0,,,,6.0,0.01635,,,,,,,,42.33,60328.0,60300.0,60000.0,36414.0,,,,,,248.0,,,,248.0,0.67575,,,212.0,,,,212.0,0.57766,60328.0,36400.0,30000.0,36414.0,10.0,10.0,,,,,,,,"Giraudeau, Elie",,,,,,,,,,,,,,,,60328.0,,,,,10712.0,10712.0,10712.0,,,36400.0,,,60300.0,,,,,10700.0,10000.0,,,2.0,,,1.0,Béril,36414.0,367.0,,4.0,,367.0,367.0,0.0,0.0,,367.0,367.0,,367.0,367.0,,367.0,367.0,415.0,,,"mettas,II",,,,,,,,,,,,,,,,,,305.3,200.0,4.0,,,,,,,,,,,113.0,,,,113.0,0.3079,120.0,25,1700,10,49,1742,1742,1741,,,,0,,,,,,,0.09809,0.11444,0.01635,0.67575,0.57766,0.3079
32171,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Gayot, Pierre",,,,,,,,,,,,,,,,,,,,,1.0,14.0,5.0,1743.0,,11.0,1743.0,,,,,,,,,,,,,,,,15.0,6.0,1744.0,"05,14,1743","11,,1743",,",,",",,",",,",",,","06,15,1744",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60612.0,60600.0,60000.0,,,,,,,,,,,,,,,,,,,,,60612.0,80200.0,80000.0,80299.0,10.0,10.0,,,,,,,,"Hardy, Pierre",,,,,,,,,,,,,,,,60612.0,,,,,10712.0,10712.0,10712.0,,,,,,60600.0,,,,,10700.0,10000.0,,0.0,1.0,0.0,0.0,0.0,Néraide,,,,,,209.0,,,,,,,,,,,,,276.0,,,"mettas,II",,,,,,,,,,,,,,,,,,256.1,141.0,4.0,,,,,,,,,,,,,,,,,114.0,25,1700,10,49,1743,1743,1743,,,,0,,,,,,,,,,,,
32204,PUBLISHED,,,,36412.0,,,,,,,,,,,,,,,,,,,Collet,,,,,,,,,,,,,,,,,,,,,9.0,14.0,12.0,1749.0,25.0,3.0,1750.0,,,,,,,19.0,10.0,1750.0,31.0,1.0,1751.0,,,,21.0,6.0,1751.0,"12,14,1749","03,25,1750",,"10,19,1750","01,31,1751",",,",",,","06,21,1751",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60511.0,60500.0,60000.0,36499.0,,,,,,,,,,,,,,,,,,,,60511.0,36400.0,30000.0,36499.0,10.0,10.0,280.0,0.0,0.0,,,,,"Giraudeau, Elie (Père)",,,,,,,,,,,,,,,,60511.0,,,,,10712.0,10712.0,10712.0,,,36400.0,36400.0,,60500.0,,,,,10700.0,10000.0,,,,,,,Robuste,36405.0,,,,15.0,265.0,,,,,,,,,,,,,280.0,,,"mettas,II","LList, 31 July 1750",,,,,,,,,,,,,,,,,365.3,250.0,4.0,280.0,,280.0,309.0,,,15.0,0.05,,,,,,,,,111.0,25,1700,10,50,1750,1750,1749,,,,0,,,,,,,,,,,,
32278,PUBLISHED,379.0,,,,,,,,,,,379.0,,,20.0,,,,,,20.0,0.04728,"Corbie, Garlache",,,44.0,,,,,,,,,44.0,0.10402,,,42.0,,,,,1.0,8.0,12.0,1772.0,14.0,2.0,1773.0,29.0,5.0,1773.0,,,,3.0,9.0,1773.0,,,,,,,18.0,1.0,1774.0,"12,08,1772","02,14,1773","5,29,1773","09,03,1773",",,",",,",",,","01,18,1774",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,190.0,190.0,,,24.0,,,,,,24.0,0.05674,,,,,,,,,60515.0,60500.0,60000.0,36403.0,,233.0,,,,,,,,233.0,0.55083,213.0,,,,,,213.0,0.50355,60515.0,36400.0,30000.0,36403.0,10.0,10.0,2.0,423.0,0.0,4.0,60673.0,,,"Goguet, Joseph",,,,,,,,,,,,,,,,60404.0,60515.0,,,,10712.0,10712.0,10712.0,,,36400.0,,,60400.0,60500.0,,,,10700.0,10000.0,,0.0,0.0,1.0,0.0,0.0,Roi Dahomet,36403.0,406.0,,,,406.0,,,,423.0,,423.0,423.0,,423.0,423.0,,423.0,424.0,,,"mettas,II","LList, 30 Nov 1773",,,,,,,,,,,,,,,,,299.1,260.0,4.0,424.0,,424.0,269.0,97.0,94.0,18.0,0.04,166.0,,,,,,166.0,0.39243,111.0,28,1700,11,55,1773,1773,1772,,,,0,0.04728,0.10402,0.05674,0.55083,0.50354609929078,0.39243,,,,,,
32478,PUBLISHED,,,87.0,21601.0,,,,,,,,87.0,,,,,1.0,,,,1.0,0.01136,Dupré,,,,,4.0,,,,,,,4.0,0.04396,,,,,,,,,19.0,10.0,1722.0,,,,13.0,6.0,1723.0,6.0,11.0,1723.0,,9.0,1723.0,12.0,10.0,1723.0,,,,,,,"10,19,1722",",,","6,13,1723","09,,1723","10,12,1723",",,","11,06,1723",",,",10700.0,10000.0,,,,,True,49,1,14,1,,,,,,,20.0,,,20.0,,,,,,,0.0,0.0,,,,3.0,,,,,60109.0,60100.0,60000.0,21601.0,,,,,,68.0,,,,68.0,0.77273,,,67.0,,,,67.0,0.76136,60109.0,21600.0,20000.0,21601.0,10.0,10.0,100.0,,,,,,1.0,Compagnie des Indes,,,,,,,,,,,,,,,,60109.0,,,,,10713.0,,10713.0,,,21600.0,21600.0,,60100.0,,,,,,,,,,,,,Expédition,21604.0,95.0,,2.0,,95.0,7.0,91.0,0.0,,91.0,91.0,,88.0,88.0,,88.0,88.0,100.0,,,"mettas,II",,,,,,,,,,,,,,,,,,182.3,100.0,4.0,100.0,,100.0,,,,5.0,0.05,,,20.0,,,,20.0,0.22727,102.0,23,1700,9,45,1723,1723,1722,,,,0,,,,,,,0.01136,0.04396,0.0,0.77273,0.76136,0.22727
32676,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Drouet, Ph-Fr",,,,,,,,,,,,,,,,27.0,,,,,9.0,10.0,12.0,1783.0,3.0,3.0,1784.0,21.0,2.0,1785.0,30.0,8.0,1785.0,29.0,5.0,1785.0,,,,,,,26.0,10.0,1785.0,"12,10,1783","03,03,1784","2,21,1785","05,29,1785",",,",",,","08,30,1785","10,26,1785",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60620.0,60600.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60620.0,36400.0,30000.0,36403.0,10.0,10.0,,,,1.0,,1.0,1.0,Mesnager,Doullé,Lecouvreur,,,,,,,,,,,,,,60620.0,60311.0,,,,10713.0,10713.0,10713.0,,,36400.0,,,60600.0,60300.0,,,,10700.0,10000.0,,0.0,5.0,2.0,1.0,1.0,Danaé,36403.0,144.0,,,,144.0,,,,,,,,,,,,,190.0,,,"mettas,II","MCC,429",,,,,,,,,,,,,,,,,,120.0,4.0,,,,536.0,97.0,,,,,,,,,,,,114.0,29,1700,12,57,1785,1785,1783,,,,0,,,,,,,,,,,,
32883,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Sicard, J.F",,,,,,,,,,,,,,10300.0,,55.0,,,,,4.0,3.0,4.0,1725.0,24.0,8.0,1725.0,16.0,12.0,1725.0,,,,28.0,2.0,1726.0,29.0,3.0,1726.0,,,,29.0,7.0,1726.0,"04,03,1725","08,24,1725","12,16,1725","02,28,1726","03,29,1726",",,",",,","07,29,1726",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,60118.0,60100.0,60000.0,21603.0,,,,,,,,,,,,,,,,,,,,60199.0,21600.0,20000.0,21603.0,10.0,10.0,,,,4.0,,,1.0,Compagnie des Indes,,,,,,,,,,,,,,,,60109.0,60111.0,60118.0,10399.0,,10713.0,10715.0,10713.0,,,21600.0,,,60100.0,60100.0,60100.0,,,,10000.0,30.0,0.0,3.0,0.0,1.0,0.0,Aurore,21603.0,290.0,,,,290.0,,,,,,,,,,,,,350.0,,,"mettas,II","Hall,72","LeTréhour,197,206,216",,,,,,,,,,,,,,,,305.3,200.0,4.0,350.0,,350.0,331.0,74.0,,60.0,0.17,,,,,,,,,71.0,23,1700,10,46,1725,1726,1725,1709.0,,,0,,,,,,,,,,,,
32900,PUBLISHED,,,,21602.0,,,,,,,,,,,,,,,,,,,"Forte-Maison, de la",Tredillac,,,,,,,,,,,,,10700.0,,71.0,,,,,4.0,20.0,10.0,1726.0,17.0,11.0,1726.0,3.0,6.0,1727.0,8.0,12.0,1727.0,19.0,7.0,1727.0,12.0,9.0,1727.0,,,,26.0,1.0,1728.0,"10,20,1726","11,17,1726","6,3,1727","07,19,1727","09,12,1727",",,","12,08,1727","01,26,1728",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,60109.0,60100.0,60000.0,21602.0,,,,,,,,,,,,,,,,,,,,60109.0,21600.0,20000.0,21602.0,10.0,10.0,,,,5.0,,,1.0,Compagnie des Indes,,,,,,,,,,,,,,,,60118.0,60109.0,60101.0,10726.0,,10715.0,10715.0,10715.0,,,36400.0,21600.0,,60100.0,60100.0,60100.0,,,10700.0,10000.0,30.0,0.0,0.0,0.0,3.0,0.0,Prince de Conty,36403.0,296.0,,,,296.0,0.0,266.0,,,,,,,,,,,300.0,,,"mettas,II","Hall, 387","LeTréhour,197,206,217",,,,,,,,,,,,,,,,343.1,300.0,4.0,300.0,,300.0,272.0,46.0,46.0,4.0,0.01,,,,,,,,,71.0,23,1700,10,46,1727,1727,1726,1723.0,,,0,,,,,,,,,,,,
32960,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Marguerin, Jean-Baptiste",,,,,,,,,,,,,,10700.0,,81.0,,,,,11.0,11.0,2.0,1741.0,6.0,3.0,1741.0,30.0,6.0,1741.0,19.0,10.0,1741.0,4.0,8.0,1741.0,,,,,,,28.0,12.0,1741.0,"02,11,1741","03,06,1741","6,30,1741","08,04,1741",",,",",,","10,19,1741","12,28,1741",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,60109.0,60100.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60109.0,36400.0,30000.0,36403.0,10.0,10.0,,,,0.0,,,,Compagnie des Indes,,,,,,,,,,,,,,,,60118.0,60109.0,60108.0,10715.0,,10715.0,10715.0,10715.0,,,36400.0,,,60100.0,60100.0,60100.0,,,10700.0,10000.0,30.0,1.0,2.0,,4.0,1.0,Gloire,36403.0,,,,,439.0,,,,,,,,,,,,,500.0,,,"mettas,II","LeTréhour,199,208,225",,,,,,,,,,,,,,,,,409.1,360.0,4.0,500.0,,,174.0,35.0,,,,,,,,,,,,71.0,25,1700,10,49,1741,1741,1741,,,,0,,,,,,,,,,,,
32982,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Saint-Pierre, Louis","Desmolières, Robinot",,,,,,,,,,,,,,,,,,,,6.0,17.0,4.0,1772.0,18.0,11.0,1772.0,22.0,2.0,1773.0,,,,18.0,7.0,1773.0,,,,,,,4.0,1.0,1774.0,"04,17,1772","11,18,1772","2,22,1773","07,18,1773",",,",",,",",,","01,04,1774",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60808.0,60800.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60808.0,36400.0,30000.0,36403.0,10.0,10.0,,,,,,8.0,,Piquet,Sainte-Pierre,,,,,,,,,,,,,,,60808.0,,,,,10715.0,10720.0,10715.0,,,36400.0,,,60800.0,,,,,10700.0,10000.0,,0.0,2.0,2.0,0.0,2.0,Digue,36403.0,230.0,,,,230.0,,,,,,,,,,,,,333.0,,,"mettas,II",,,,,,,,,,,,,,,,,,409.1,360.0,4.0,,,,457.0,146.0,,,,,,,,,,,,123.0,28,1700,11,55,1773,1773,1772,,,,0,,,,,,,,,,,,
32985,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Totin, Louis",Dupuy,,,,,,,,,,,,,,,53.0,,,,,4.0,26.0,3.0,1776.0,11.0,9.0,1776.0,,,,12.0,9.0,1777.0,16.0,6.0,1777.0,,,,,,,2.0,11.0,1777.0,"03,26,1776","09,11,1776",,"06,16,1777",",,",",,","09,12,1777","11,02,1777",10700.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60819.0,60800.0,60000.0,36403.0,,,,,,,,,,,,,,,,,,,,60819.0,36400.0,30000.0,36403.0,10.0,10.0,,,,1.0,60803.0,8.0,,"Feray, Jean (Vve)",Massieu,,,,,,,,,,,,,,,60819.0,,,,,10715.0,10713.0,10715.0,,,36400.0,,,60800.0,,,,,10700.0,10000.0,,0.0,2.0,2.0,0.0,0.0,Gracieux,36403.0,329.0,,,,329.0,,,,,,,,,,,,,476.0,,,"mettas,II",,,,,,,,,,,,,,,,,,400.0,400.0,4.0,,,,447.0,,,,,,,,,,,,,123.0,28,1700,12,56,1777,1777,1776,,,,0,,,,,,,,,,,,
33037,PUBLISHED,,,80.0,,,,,,,,,80.0,,,,,20.0,,,,20.0,0.16949,Camairan,,,,,38.0,,,,,,,38.0,0.32203,,,,,,,,,26.0,5.0,1784.0,,,,,,,,,,5.0,5.0,1787.0,,,,,,,,,,"05,26,1784",",,",,"05,05,1787",",,",",,",",,",",,",10700.0,10000.0,60799.0,,60700.0,,True,49,1,14,1,,,,,,,48.0,,,48.0,,,18.0,,,,18.0,0.15254,,,,,,,,,60808.0,60800.0,60000.0,36403.0,,,,,,70.0,,,,70.0,0.59322,,,50.0,,,,50.0,0.42373,60808.0,36400.0,30000.0,36403.0,10.0,10.0,,,,,,8.0,,,,,,,,,,,,,,,,,,60808.0,60806.0,,,,10716.0,,10716.0,,,36400.0,,,60800.0,60800.0,,,,,,,,,,,,Vicomte de Souillac,36403.0,118.0,,,,118.0,,,,,118.0,118.0,,118.0,118.0,,118.0,118.0,171.0,,,"mettas,II",CapelaNotes,"AHU,Moçambique,Cx 64 no 18",,,,,,,,,,,,,,,,,219.0,4.0,,,,1074.0,,,,,,,30.0,,,,30.0,0.25424,123.0,29,1700,12,58,1787,1787,1784,,,,0,,,,,,,0.16949,0.32203,0.15254,0.59322,0.42373,0.25424
